@id,@lon,@lat,name
432436502,22.5809383,41.9743238,
432436503,22.5813353,41.9745910,
432436504,22.5804019,41.9764255,
432436505,22.5817752,41.9750416,
432436506,22.5819844,41.9756638,
432436507,22.5816143,41.9759190,
432436508,22.5811958,41.9761104,
432436509,22.5813407,41.9760705,
432436510,22.5797421,41.9767525,
432436511,22.5794685,41.9767445,
432436512,22.5791091,41.9768163,
432436513,22.5826282,41.9730163,
432436514,22.5819036,41.9732513,
432436516,22.5857717,41.9741762,
432436517,22.5860238,41.9746468,
432436518,22.5834983,41.9735310,
432436519,22.5848758,41.9734583,
432436520,22.5852889,41.9732589,
432436521,22.5788677,41.9770675,
432436522,22.5787014,41.9771712,
432436523,22.5785136,41.9773467,
432436524,22.5784707,41.9774384,
432436525,22.5782829,41.9775860,
432436526,22.5779879,41.9777854,
432436527,22.5779557,41.9778611,
432436528,22.5781327,41.9779967,
432436529,22.5782137,41.9780609,
432436530,22.5782293,41.9782240,
432436531,22.5780898,41.9783556,
432436532,22.5780255,41.9783995,
432436533,22.5778162,41.9784833,
432436534,22.5777197,41.9785311,
432436535,22.5778645,41.9787026,
432436536,22.5779182,41.9787504,
432436537,22.5780205,41.9788703,
432436538,22.5780573,41.9789083,
432436539,22.5780926,41.9789804,
432436540,22.5780665,41.9790420,
432436541,22.5779434,41.9791329,
432436542,22.5778163,41.9792185,
432436543,22.5776619,41.9793235,
432436544,22.5773255,41.9796134,
432436545,22.5773039,41.9796934,
432436546,22.5773152,41.9798051,
432436547,22.5773675,41.9799207,
432436548,22.5774233,41.9800160,
432436549,22.5774965,41.9801240,
432436550,22.5775659,41.9801819,
432436551,22.5776430,41.9802437,
432436552,22.5777332,41.9803594,
432436553,22.5778229,41.9804822,
432436554,22.5778538,41.9805888,
432436555,22.5778645,41.9807124,
432436556,22.5779021,41.9810674,
432436557,22.5779074,41.9811910,
432436558,22.5779396,41.9813026,
432436559,22.5780040,41.9814462,
432436560,22.5780469,41.9815220,
432436561,22.5782186,41.9817134,
432436562,22.5783098,41.9817732,
432436563,22.5784171,41.9818450,
432436564,22.5788006,41.9821560,
432436565,22.5788999,41.9822078,
432436566,22.5789964,41.9824471,
432436567,22.5794309,41.9825707,
432436568,22.5795758,41.9826784,
432436569,22.5799566,41.9828658,
432436570,22.5805038,41.9831449,
432436571,22.5806862,41.9832685,
432436572,22.5807452,41.9833084,
432436573,22.5807720,41.9833483,
432436574,22.5808686,41.9836075,
432436575,22.5814694,41.9835656,
432436576,22.5817162,41.9836274,
432436577,22.5819790,41.9834560,
432436578,22.5821400,41.9834161,
432436579,22.5826871,41.9835596,
432436580,22.5827944,41.9836035,
432436581,22.5830305,41.9836912,
432436582,22.5832665,41.9837829,
432436583,22.5834864,41.9835756,
432436584,22.5837493,41.9836234,
432436585,22.5841731,41.9837909,
432436586,22.5842535,41.9837431,
432436587,22.5843394,41.9836753,
432436588,22.5846344,41.9834918,
432436589,22.5848007,41.9834879,
432436590,22.5852138,41.9836753,
432436591,22.5854981,41.9837072,
432436592,22.5855571,41.9837550,
432436593,22.5857824,41.9839664,
432436594,22.5859487,41.9839823,
432436595,22.5863832,41.9839185,
432436596,22.5866461,41.9839983,
432436597,22.5869197,41.9839943,
432436598,22.5871718,41.9839943,
432436599,22.5872576,41.9840262,
432436600,22.5874346,41.9843412,
432436601,22.5874454,41.9846921,
432436602,22.5875527,41.9847818,
432436603,22.5878316,41.9851227,
432436604,22.5878262,41.9852025,
432436605,22.5877941,41.9852703,
432436606,22.5877297,41.9853141,
432436607,22.5876063,41.9853381,
432436608,22.5874776,41.9853301,
432436609,22.5871879,41.9853301,
432436610,22.5870001,41.9853580,
432436611,22.5867426,41.9854058,
432436612,22.5864422,41.9854936,
432436613,22.5860124,41.9856771,
432436614,22.5859046,41.9857557,
432436615,22.5858153,41.9858517,
432436616,22.5857177,41.9859943,
432436617,22.5856376,41.9861276,
432436618,22.5855625,41.9862592,
432436619,22.5854176,41.9864386,
432436620,22.5853425,41.9865263,
432436621,22.5847685,41.9866539,
432436622,22.5847042,41.9867137,
432436623,22.5846773,41.9867735,
432436624,22.5846773,41.9868254,
432436625,22.5847042,41.9868652,
432436626,22.5847524,41.9868971,
432436627,22.5848007,41.9868932,
432436628,22.5848544,41.9868613,
432436629,22.5850636,41.9867695,
432436630,22.5853103,41.9867337,
432436631,22.5854713,41.9866818,
432436632,22.5856161,41.9866140,
432436633,22.5859326,41.9863429,
432436634,22.5860399,41.9862472,
432436635,22.5861204,41.9861475,
432436636,22.5862062,41.9860757,
432436637,22.5872844,41.9858365,
432436638,22.5874078,41.9858485,
432436639,22.5877190,41.9859681,
432436640,22.5879389,41.9859641,
432436641,22.5880301,41.9859442,
432436642,22.5881374,41.9859242,
432436643,22.5882447,41.9859083,
432436644,22.5883520,41.9858843,
432436646,22.5884592,41.9858524,
432436648,22.5887167,41.9860837,
432436649,22.5887543,41.9861555,
432436650,22.5888026,41.9862312,
432436651,22.5888884,41.9864825,
432436652,22.5889152,41.9867097,
432436653,22.5888884,41.9868094,
432436655,22.5888562,41.9869131,
432436656,22.5888562,41.9869769,
432436657,22.5888830,41.9870686,
432436659,22.5889099,41.9871643,
432436661,22.5889340,41.9872321,
432436662,22.5889689,41.9872919,
432436663,22.5891137,41.9875830,
432436665,22.5890815,41.9878581,
432436666,22.5889957,41.9879857,
432436667,22.5889045,41.9880854,
432436668,22.5888294,41.9881771,
432436669,22.5886899,41.9882807,
432436670,22.5885504,41.9883605,
432436671,22.5884217,41.9884323,
432436672,22.5883037,41.9885040,
432436673,22.5880516,41.9886914,
432436674,22.5878209,41.9888629,
432436675,22.5875580,41.9890901,
432436676,22.5874615,41.9892217,
432436677,22.5874668,41.9892775,
432436678,22.5875097,41.9893294,
432436679,22.5875902,41.9894251,
432436680,22.5876170,41.9895088,
432436681,22.5876546,41.9896045,
432436682,22.5876760,41.9897122,
432436683,22.5876439,41.9900032,
432436684,22.5875527,41.9900551,
432436685,22.5874615,41.9900830,
432436686,22.5873381,41.9901109,
432436687,22.5872469,41.9901188,
432436688,22.5871611,41.9901348,
432436689,22.5870913,41.9901587,
432436690,22.5870323,41.9901986,
432436691,22.5869733,41.9902664,
432436692,22.5869143,41.9903820,
432436693,22.5868767,41.9904817,
432436694,22.5866461,41.9906491,
432436695,22.5865281,41.9907847,
432436696,22.5864959,41.9908644,
432436697,22.5864959,41.9909362,
432436698,22.5865120,41.9910518,
432436699,22.5865227,41.9914466,
432436700,22.5865066,41.9915024,
432436701,22.5866139,41.9916060,
432436702,22.5867641,41.9917496,
432436703,22.5868124,41.9918014,
432436704,22.5868499,41.9918532,
432436705,22.5868767,41.9919609,
432436706,22.5871181,41.9924513,
432436707,22.5871879,41.9925789,
432436708,22.5872201,41.9928021,
432436709,22.5872630,41.9928301,
432436710,22.5873434,41.9929297,
432436711,22.5874132,41.9930095,
432436712,22.5874615,41.9931251,
432436715,22.5874937,41.9932447,
432436716,22.5874990,41.9937112,
432436717,22.5874186,41.9939584,
432436718,22.5874025,41.9940700,
432436719,22.5873059,41.9945205,
432436720,22.5871235,41.9948355,
432436721,22.5871128,41.9952980,
432436722,22.5870967,41.9958760,
432436723,22.5871235,41.9962548,
432436724,22.5871289,41.9964063,
432436725,22.5871557,41.9965658,
432436726,22.5872844,41.9969246,
432436727,22.5873488,41.9970840,
432436728,22.5873864,41.9971877,
432436729,22.5874776,41.9973352,
432436730,22.5876921,41.9975266,
432436731,22.5877190,41.9978854,
432436732,22.5876921,41.9983000,
432436733,22.5875071,41.9983598,
432436734,22.5874722,41.9983897,
432436735,22.5875473,41.9984873,
432436736,22.5876731,41.9985111,
432436737,22.5877565,41.9985272,
432436738,22.5878209,41.9985551,
432436739,22.5878638,41.9986588,
432436740,22.5878155,41.9987186,
432436741,22.5877565,41.9987784,
432436742,22.5877190,41.9988541,
432436743,22.5876921,41.9989179,
432436744,22.5876278,41.9990136,
432436745,22.5875044,41.9991651,
432436746,22.5877511,41.9991411,
432436747,22.5878370,41.9991172,
432436748,22.5880355,41.9989179,
432436749,22.5881213,41.9988820,
432436750,22.5882339,41.9988501,
432436751,22.5883466,41.9988382,
432436752,22.5884271,41.9988262,
432436753,22.5886899,41.9989059,
432436754,22.5887597,41.9990534,
432436755,22.5887650,41.9991571,
432436756,22.5886363,41.9996993,
432436757,22.5885773,41.9998348,
432436758,22.5883090,42.0001856,
432436759,22.5881749,42.0005006,
432436760,22.5880676,42.0008075,
432436761,22.5879443,42.0010985,
432436762,22.5878158,42.0013403,
432436763,22.5876610,42.0016720,
432436764,22.5875688,42.0018679,
432436765,22.5874829,42.0020473,
432436766,22.5874186,42.0021749,
432436767,22.5873166,42.0023981,
432436768,22.5873059,42.0024778,
432436769,22.5873005,42.0026054,
432436770,22.5872898,42.0027569,
432436771,22.5872737,42.0029124,
432436772,22.5872362,42.0031157,
432436773,22.5871772,42.0032472,
432436774,22.5871074,42.0033508,
432436775,22.5870591,42.0034585,
432436776,22.5870055,42.0036020,
432436777,22.5869197,42.0037694,
432436778,22.5867158,42.0040405,
432436779,22.5866246,42.0040923,
432436780,22.5863886,42.0041641,
432436781,22.5861686,42.0042079,
432436782,22.5859219,42.0042518,
432436783,22.5856483,42.0042836,
432436784,22.5854123,42.0043115,
432436785,22.5851440,42.0043395,
432436786,22.5847310,42.0043753,
432436787,22.5834113,42.0049095,
432436788,22.5844842,42.0048896,
432436789,22.5854176,42.0051168,
432436790,22.5855464,42.0051447,
432436796,22.5862813,42.0055074,
432436797,22.5862277,42.0056509,
432436798,22.5860453,42.0060376,
432436799,22.5863188,42.0063844,
432436800,22.5866032,42.0067511,
432436801,22.5867695,42.0071657,
432436802,22.5869036,42.0074487,
